Name,First,Middle,Last
Linda Sánchez,Linda,NA,Sánchez
Mark Takano,Mark,NA,Takano
Young Kim,Young,NA,Kim
Ken Calvert,Ken,NA,Calvert
Robert Garcia,Robert,NA,Garcia
Maxine Waters,Maxine,NA,Waters
Nanette Barragan,Nanette,NA,Barragan
Michelle Steel,Michelle,NA,Steel
Lou Correa,Lou,NA,Correa
Katie Porter,Katie,NA,Porter
Darrell Issa,Darrell,NA,Issa
Mike Levin,Mike,NA,Levin
Scott Peters,Scott,NA,Peters
Sara Jacobs,Sara,NA,Jacobs
Juan Vargas,Juan,NA,Vargas
Diana DeGette,Diana,NA,DeGette
Joe Neguse,Joe,NA,Neguse
Lauren Boebert,Lauren,NA,Boebert
Ken Buck,Ken,NA,Buck
Doug Lamborn,Doug,NA,Lamborn
Jason Crow,Jason,NA,Crow
Brittany Pettersen,Brittany,NA,Pettersen
Yadira Caraveo,Yadira,NA,Caraveo
John B. Larson,John,B.,Larson
Joe Courtney,Joe,NA,Courtney
Rosa DeLauro,Rosa,NA,DeLauro
Jim Himes,Jim,NA,Himes
Jahana Hayes,Jahana,NA,Hayes
Lisa Blunt Rochester,Lisa,Blunt,Rochester
Matt Gaetz,Matt,NA,Gaetz
Neal Dunn,Neal,NA,Dunn
Kat Cammack,Kat,NA,Cammack
Aaron Bean,Aaron,NA,Bean
John Rutherford,John,NA,Rutherford
Michael Waltz,Michael,NA,Waltz
Cory Mills,Cory,NA,Mills
Bill Posey,Bill,NA,Posey
Darren Soto,Darren,NA,Soto
Maxwell Frost,Maxwell,NA,Frost
Daniel Webster,Daniel,NA,Webster
Gus Bilirakis,Gus,NA,Bilirakis
Anna Paulina Luna,Anna,Paulina,Luna
Kathy Castor,Kathy,NA,Castor
Laurel M. Lee,Laurel,M.,Lee
Vern Buchanan,Vern,NA,Buchanan
Greg Steube,Greg,NA,Steube
Scott Franklin,Scott,NA,Franklin
Byron Donalds,Byron,NA,Donalds
Sheila Cherfilus-McCormick,Sheila,NA,Cherfilus-McCormick
Brian Mast,Brian,NA,Mast
Lois Frankel,Lois,NA,Frankel
Jared Moskowitz,Jared,NA,Moskowitz
Frederica Wilson,Frederica,NA,Wilson
Debbie Wasserman Schultz,Debbie,Wasserman,Schultz
Mario Díaz-Balart,Mario,NA,Díaz-Balart
María Elvira Salazar,María,Elvira,Salazar
Carlos A. Giménez,Carlos,A.,Giménez
Buddy Carter,Buddy,NA,Carter
Sanford Bishop,Sanford,NA,Bishop
Drew Ferguson,Drew,NA,Ferguson
Hank Johnson,Hank,NA,Johnson
Nikema Williams,Nikema,NA,Williams
Rich McCormick,Rich,NA,McCormick
Lucy McBath,Lucy,NA,McBath
Austin Scott,Austin,NA,Scott
Andrew Clyde,Andrew,NA,Clyde
Mike Collins,Mike,NA,Collins
Barry Loudermilk,Barry,NA,Loudermilk
Rick W. Allen,Rick,W.,Allen
David Scott,David,NA,Scott
Marjorie Taylor Greene,Marjorie,Taylor,Greene
Ed Case,Ed,NA,Case
Jill Tokuda,Jill,NA,Tokuda
Russ Fulcher,Russ,NA,Fulcher
Mike Simpson,Mike,NA,Simpson
Jonathan Jackson,Jonathan,NA,Jackson
Robin Kelly,Robin,NA,Kelly
Delia Ramirez,Delia,NA,Ramirez
Chuy García,Chuy,NA,García
Mike Quigley,Mike,NA,Quigley
Sean Casten,Sean,NA,Casten
Danny K. Davis,Danny,K.,Davis
Raja Krishnamoorthi,Raja,NA,Krishnamoorthi
Jan Schakowsky,Jan,NA,Schakowsky
Brad Schneider,Brad,NA,Schneider
Bill Foster,Bill,NA,Foster
Mike Bost,Mike,NA,Bost
Nikki Budzinski,Nikki,NA,Budzinski
Lauren Underwood,Lauren,NA,Underwood
Mary Miller,Mary,NA,Miller
Darin LaHood,Darin,NA,LaHood
Eric Sorensen,Eric,NA,Sorensen
Frank J. Mrvan,Frank,J.,Mrvan
Rudy Yakym,Rudy,NA,Yakym
Jim Banks,Jim,NA,Banks
Jim Baird,Jim,NA,Baird
Victoria Spartz,Victoria,NA,Spartz
Greg Pence,Greg,NA,Pence
André Carson,André,NA,Carson
Larry Bucshon,Larry,NA,Bucshon
Erin Houchin,Erin,NA,Houchin
Mariannette Miller-Meeks,Mariannette,NA,Miller-Meeks
Ashley Hinson,Ashley,NA,Hinson
Zach Nunn,Zach,NA,Nunn
Randy Feenstra,Randy,NA,Feenstra
Tracey Mann,Tracey,NA,Mann
Jake LaTurner,Jake,NA,LaTurner
Sharice Davids,Sharice,NA,Davids
Ron Estes,Ron,NA,Estes
James Comer,James,NA,Comer
Brett Guthrie,Brett,NA,Guthrie
Morgan McGarvey,Morgan,NA,McGarvey
Thomas Massie,Thomas,NA,Massie
Hal Rogers,Hal,NA,Rogers
Andy Barr,Andy,NA,Barr
Steve Scalise,Steve,NA,Scalise
Troy Carter,Troy,NA,Carter
Clay Higgins,Clay,NA,Higgins
Mike Johnson,Mike,NA,Johnson
Julia Letlow,Julia,NA,Letlow
Garret Graves,Garret,NA,Graves
Chellie Pingree,Chellie,NA,Pingree
Jared Golden,Jared,NA,Golden
Andy Harris,Andy,NA,Harris
Dutch Ruppersberger,Dutch,NA,Ruppersberger
John Sarbanes,John,NA,Sarbanes
Glenn Ivey,Glenn,NA,Ivey
Steny Hoyer,Steny,NA,Hoyer
David Trone,David,NA,Trone
Kweisi Mfume,Kweisi,NA,Mfume
Jamie Raskin,Jamie,NA,Raskin
Richard Neal,Richard,NA,Neal
Jim McGovern,Jim,NA,McGovern
Lori Trahan,Lori,NA,Trahan
Jake Auchincloss,Jake,NA,Auchincloss
Katherine Clark,Katherine,NA,Clark
Seth Moulton,Seth,NA,Moulton
Ayanna Pressley,Ayanna,NA,Pressley
Stephen F. Lynch,Stephen,F.,Lynch
Bill Keating,Bill,NA,Keating
Jack Bergman,Jack,NA,Bergman
John Moolenaar,John,NA,Moolenaar
Hillary Scholten,Hillary,NA,Scholten
Bill Huizenga,Bill,NA,Huizenga
Tim Walberg,Tim,NA,Walberg
Debbie Dingell,Debbie,NA,Dingell
Elissa Slotkin,Elissa,NA,Slotkin
Dan Kildee,Dan,NA,Kildee
Lisa McClain,Lisa,NA,McClain
John James,John,NA,James
Haley Stevens,Haley,NA,Stevens
Rashida Tlaib,Rashida,NA,Tlaib
Shri Thanedar,Shri,NA,Thanedar
Brad Finstad,Brad,NA,Finstad
Angie Craig,Angie,NA,Craig
Dean Phillips,Dean,NA,Phillips
Betty McCollum,Betty,NA,McCollum
Ilhan Omar,Ilhan,NA,Omar
Tom Emmer,Tom,NA,Emmer
Michelle Fischbach,Michelle,NA,Fischbach
Pete Stauber,Pete,NA,Stauber
Trent Kelly,Trent,NA,Kelly
Bennie Thompson,Bennie,NA,Thompson
Michael Guest,Michael,NA,Guest
Mike Ezell,Mike,NA,Ezell
Cori Bush,Cori,NA,Bush
Ann Wagner,Ann,NA,Wagner
Blaine Luetkemeyer,Blaine,NA,Luetkemeyer
Mark Alford,Mark,NA,Alford
Emanuel Cleaver,Emanuel,NA,Cleaver
Sam Graves,Sam,NA,Graves
Eric Burlison,Eric,NA,Burlison
Jason Smith,Jason,NA,Smith
Ryan Zinke,Ryan,NA,Zinke
Matt Rosendale,Matt,NA,Rosendale
Mike Flood,Mike,NA,Flood
Don Bacon,Don,NA,Bacon
Adrian Smith,Adrian,NA,Smith
Dina Titus,Dina,NA,Titus
Mark Amodei,Mark,NA,Amodei
Susie Lee,Susie,NA,Lee
Steven Horsford,Steven,NA,Horsford
Chris Pappas,Chris,NA,Pappas
Annie Kuster,Annie,NA,Kuster
Donald Norcross,Donald,NA,Norcross
Jeff Van Drew,Jeff,Van,Drew
Andy Kim,Andy,NA,Kim
Chris Smith,Chris,NA,Smith
Josh Gottheimer,Josh,NA,Gottheimer
Frank Pallone,Frank,NA,Pallone
Tom Kean Jr.,Tom,Kean,Jr.
Rob Menendez,Rob,NA,Menendez
Bill Pascrell,Bill,NA,Pascrell
Donald Payne Jr.,Donald,Payne,Jr.
Mikie Sherrill,Mikie,NA,Sherrill
Bonnie Watson Coleman,Bonnie,Watson,Coleman
Melanie Stansbury,Melanie,NA,Stansbury
Gabe Vasquez,Gabe,NA,Vasquez
Teresa Leger Fernandez,Teresa,Leger,Fernandez
Nick LaLota,Nick,NA,LaLota
Andrew Garbarino,Andrew,NA,Garbarino
George Santos,George,NA,Santos
Anthony D'Esposito,Anthony,NA,D'Esposito
Gregory Meeks,Gregory,NA,Meeks
Grace Meng,Grace,NA,Meng
Nydia Velázquez,Nydia,NA,Velázquez
Hakeem Jeffries,Hakeem,NA,Jeffries
Yvette Clarke,Yvette,NA,Clarke
Dan Goldman,Dan,NA,Goldman
Nicole Malliotakis,Nicole,NA,Malliotakis
Jerry Nadler,Jerry,NA,Nadler
Adriano Espaillat,Adriano,NA,Espaillat
Alexandria Ocasio-Cortez,Alexandria,NA,Ocasio-Cortez
Ritchie Torres,Ritchie,NA,Torres
Jamaal Bowman,Jamaal,NA,Bowman
Michael Lawler,Michael,NA,Lawler
Pat Ryan,Pat,NA,Ryan
Marc Molinaro,Marc,NA,Molinaro
Paul Tonko,Paul,NA,Tonko
Elise Stefanik,Elise,NA,Stefanik
Brandon Williams,Brandon,NA,Williams
Nick Langworthy,Nick,NA,Langworthy
Claudia Tenney,Claudia,NA,Tenney
Joseph Morelle,Joseph,NA,Morelle
Brian Higgins,Brian,NA,Higgins
Don Davis,Don,NA,Davis
Deborah K. Ross,Deborah,K.,Ross
Greg Murphy,Greg,NA,Murphy
Valerie Foushee,Valerie,NA,Foushee
Virginia Foxx,Virginia,NA,Foxx
Kathy Manning,Kathy,NA,Manning
David Rouzer,David,NA,Rouzer
Dan Bishop,Dan,NA,Bishop
Richard Hudson,Richard,NA,Hudson
Patrick McHenry,Patrick,NA,McHenry
Chuck Edwards,Chuck,NA,Edwards
Alma Adams,Alma,NA,Adams
Wiley Nickel,Wiley,NA,Nickel
Jeff Jackson,Jeff,NA,Jackson
At-large. Kelly Armstrong,At-large.,Kelly,Armstrong
Greg Landsman,Greg,NA,Landsman
Brad Wenstrup,Brad,NA,Wenstrup
Joyce Beatty,Joyce,NA,Beatty
Jim Jordan,Jim,NA,Jordan
Bob Latta,Bob,NA,Latta
Bill Johnson,Bill,NA,Johnson
Max Miller,Max,NA,Miller
Warren Davidson,Warren,NA,Davidson
Marcy Kaptur,Marcy,NA,Kaptur
Mike Turner,Mike,NA,Turner
Shontel Brown,Shontel,NA,Brown
Troy Balderson,Troy,NA,Balderson
Emilia Sykes,Emilia,NA,Sykes
David Joyce,David,NA,Joyce
Mike Carey,Mike,NA,Carey
Kevin Hern,Kevin,NA,Hern
Josh Brecheen,Josh,NA,Brecheen
Frank Lucas,Frank,NA,Lucas
Tom Cole,Tom,NA,Cole
Stephanie Bice,Stephanie,NA,Bice
Suzanne Bonamici,Suzanne,NA,Bonamici
Cliff Bentz,Cliff,NA,Bentz
Earl Blumenauer,Earl,NA,Blumenauer
Val Hoyle,Val,NA,Hoyle
Lori Chavez-DeRemer,Lori,NA,Chavez-DeRemer
Andrea Salinas,Andrea,NA,Salinas
Brian Fitzpatrick,Brian,NA,Fitzpatrick
Brendan Boyle,Brendan,NA,Boyle
Dwight Evans,Dwight,NA,Evans
Madeleine Dean,Madeleine,NA,Dean
Mary Gay Scanlon,Mary,Gay,Scanlon
Chrissy Houlahan,Chrissy,NA,Houlahan
Susan Wild,Susan,NA,Wild
Matt Cartwright,Matt,NA,Cartwright
Dan Meuser,Dan,NA,Meuser
Scott Perry,Scott,NA,Perry
Lloyd Smucker,Lloyd,NA,Smucker
Summer Lee,Summer,NA,Lee
John Joyce,John,NA,Joyce
Guy Reschenthaler,Guy,NA,Reschenthaler
Glenn Thompson,Glenn,NA,Thompson
Mike Kelly,Mike,NA,Kelly
Chris Deluzio,Chris,NA,Deluzio
David Cicilline,David,NA,Cicilline
Seth Magaziner,Seth,NA,Magaziner
Nancy Mace,Nancy,NA,Mace
Joe Wilson,Joe,NA,Wilson
Jeff Duncan,Jeff,NA,Duncan
William Timmons,William,NA,Timmons
Ralph Norman,Ralph,NA,Norman
Jim Clyburn,Jim,NA,Clyburn
Russell Fry,Russell,NA,Fry
At-large. Dusty Johnson,At-large.,Dusty,Johnson
Diana Harshbarger,Diana,NA,Harshbarger
Tim Burchett,Tim,NA,Burchett
Chuck Fleischmann,Chuck,NA,Fleischmann
Scott DesJarlais,Scott,NA,DesJarlais
Andy Ogles,Andy,NA,Ogles
John Rose,John,NA,Rose
Mark E. Green,Mark,E.,Green
David Kustoff,David,NA,Kustoff
Steve Cohen,Steve,NA,Cohen
Nathaniel Moran,Nathaniel,NA,Moran
Dan Crenshaw,Dan,NA,Crenshaw
Keith Self,Keith,NA,Self
Pat Fallon,Pat,NA,Fallon
Lance Gooden,Lance,NA,Gooden
Jake Ellzey,Jake,NA,Ellzey
Lizzie Fletcher,Lizzie,NA,Fletcher
Morgan Luttrell,Morgan,NA,Luttrell
Al Green,Al,NA,Green
Michael McCaul,Michael,NA,McCaul
August Pfluger,August,NA,Pfluger
Kay Granger,Kay,NA,Granger
Ronny Jackson,Ronny,NA,Jackson
Randy Weber,Randy,NA,Weber
Monica De La Cruz Hernandez,Monica,De La Cruz,Hernandez
Veronica Escobar,Veronica,NA,Escobar
Pete Sessions,Pete,NA,Sessions
Sheila Jackson Lee,Sheila,Jackson,Lee
Jodey Arrington,Jodey,NA,Arrington
Joaquin Castro,Joaquin,NA,Castro
Chip Roy,Chip,NA,Roy
Troy Nehls,Troy,NA,Nehls
Tony Gonzales,Tony,NA,Gonzales
Beth Van Duyne,Beth,Van,Duyne
Roger Williams,Roger,NA,Williams
Michael C. Burgess,Michael,C.,Burgess
Michael Cloud,Michael,NA,Cloud
Henry Cuellar,Henry,NA,Cuellar
Sylvia Garcia,Sylvia,NA,Garcia
Jasmine Crockett,Jasmine,NA,Crockett
John Carter,John,NA,Carter
Colin Allred,Colin,NA,Allred
Marc Veasey,Marc,NA,Veasey
Vicente Gonzalez,Vicente,NA,Gonzalez
Greg Casar,Greg,NA,Casar
Brian Babin,Brian,NA,Babin
Lloyd Doggett,Lloyd,NA,Doggett
Wesley Hunt,Wesley,NA,Hunt
Blake Moore,Blake,NA,Moore
Chris Stewart,Chris,NA,Stewart
John Curtis,John,NA,Curtis
Burgess Owens,Burgess,NA,Owens
At-large. Becca Balint,At-large.,Becca,Balint
Rob Wittman,Rob,NA,Wittman
Jen Kiggans,Jen,NA,Kiggans
Bobby Scott,Bobby,NA,Scott
Donald McEachin,Donald,NA,McEachin
Bob Good,Bob,NA,Good
Ben Cline,Ben,NA,Cline
Abigail Spanberger,Abigail,NA,Spanberger
Don Beyer,Don,NA,Beyer
Morgan Griffith,Morgan,NA,Griffith
Jennifer Wexton,Jennifer,NA,Wexton
Gerry Connolly,Gerry,NA,Connolly
Suzan DelBene,Suzan,NA,DelBene
Rick Larsen,Rick,NA,Larsen
Marie Gluesenkamp Perez,Marie,Gluesenkamp,Perez
Dan Newhouse,Dan,NA,Newhouse
Cathy McMorris Rodgers,Cathy,McMorris,Rodgers
Derek Kilmer,Derek,NA,Kilmer
Pramila Jayapal,Pramila,NA,Jayapal
Kim Schrier,Kim,NA,Schrier
Adam Smith,Adam,NA,Smith
Marilyn Strickland,Marilyn,NA,Strickland
Carol Miller,Carol,NA,Miller
Alex Mooney,Alex,NA,Mooney
Bryan Steil,Bryan,NA,Steil
Mark Pocan,Mark,NA,Pocan
Derrick Van Orden,Derrick,Van,Orden
Gwen Moore,Gwen,NA,Moore
Scott Fitzgerald,Scott,NA,Fitzgerald
Glenn Grothman,Glenn,NA,Grothman
Tom Tiffany,Tom,NA,Tiffany
Mike Gallagher,Mike,NA,Gallagher
Harriet Hageman,Harriet,NA,Hageman
Amata Coleman Radewagen,Amata,Coleman,Radewagen
Eleanor Holmes Norton,Eleanor,Holmes,Norton
James Moylan,James,NA,Moylan
Gregorio Sablan,Gregorio,NA,Sablan
Jenniffer González,Jenniffer,NA,González
Stacey Plaskett,Stacey,NA,Plaskett
