"Name","Elected"
"Shervin Aazami",FALSE
"Rana Abdelhamid",FALSE
"Julian Acciard",FALSE
"Michael Ackerman",FALSE
"Alma Adams",TRUE
"Robert Aderholt",TRUE
"Amanda Adkins",FALSE
"Erick Aguilar",FALSE
"Pete Aguilar",TRUE
"Junaid Ahmed",FALSE
"Timothy Alexander",FALSE
"Graham Allen",FALSE
"Richard Allen",TRUE
"Tammy Allison",FALSE
"Colin Allred",TRUE
"Bruno Amato",FALSE
"Mark Amodei",TRUE
"Manga Anantatmula",FALSE
"David Anderson",FALSE
"Sylvester Ani",FALSE
"Eddy Aragon",FALSE
"Phil Arballo",FALSE
"Chelsea Ardoin",FALSE
"Val Arkoosh",FALSE
"Irene Armendariz-Jackson",FALSE
"Kelly Armstrong",TRUE
"Jodey Arrington",TRUE
"Barbara Arthur",FALSE
"Jake Auchincloss",TRUE
"Cindy Axne",FALSE
"Andy Baan",FALSE
"Brian Babin",TRUE
"Donald Bacon",TRUE
"Youseff Baddar",FALSE
"Kathleen Bailey",FALSE
"Jim Baird",TRUE
"Troy Balderson",TRUE
"Jim Banks",TRUE
"Cindy Banyai",FALSE
"Evan Barlow",FALSE
"John Barnes",FALSE
"Kathy Barnette",FALSE
"Andy Barr",TRUE
"Timothy Barr",FALSE
"Nanette Barragan",TRUE
"Jeff Bartos",FALSE
"Gary Barve",FALSE
"Karen Bass",FALSE
"Gillian Battino",FALSE
"Kevin Baumlin",FALSE
"Jasmine Beach-Ferrara",FALSE
"Lydia Bean",FALSE
"Cheri Beasley",FALSE
"John Beatty",FALSE
"Joyce Beatty",TRUE
"April Becker",FALSE
"Rodney Beebe",FALSE
"Doug Bell",FALSE
"Jarome Bell",FALSE
"Leon Benjamin",FALSE
"Michael Bennet",TRUE
"Cliff Bentz",TRUE
"Ami Bera",TRUE
"Matt Berg",FALSE
"John Bergman",FALSE
"Claston Bernard",FALSE
"Jaime Beutler",FALSE
"Don Beyer",TRUE
"Stephanie Bice",TRUE
"Andy Biggs",TRUE
"Gus Bilirakis",TRUE
"Mike Billand",FALSE
"Kirby Birgans",FALSE
"Christine Bish",FALSE
"Dan Bishop",TRUE
"Sanford Bishop",TRUE
"Walt Blackman",FALSE
"Andy Blalock",FALSE
"Lynda Blanchard",FALSE
"Earl Blumenauer",TRUE
"Richard Blumenthal",TRUE
"Lauren Boebert",TRUE
"Don Bolduc",FALSE
"Suzanne Bonamici",TRUE
"Charles Booker",FALSE
"John Boozman",TRUE
"Rene Borghese",FALSE
"Mike Bost",TRUE
"Anthony Bouchard",FALSE
"Carolyn Bourdeaux",FALSE
"Jamaal Bowman",TRUE
"Raleigh Bowman",FALSE
"Carl Boyanton",FALSE
"Brendan Boyle",TRUE
"James Bradley",FALSE
"Mo Brooks",FALSE
"Raymond Brooks",FALSE
"Hillery Brotschol",FALSE
"Paul Broun",FALSE
"Anthony Brown",FALSE
"Jesse Brown",FALSE
"Kathleen Brown",FALSE
"Shontel Brown",TRUE
"Julia Brownley",TRUE
"Vernon Buchanan",TRUE
"Ken Buck",TRUE
"Larry Bucshon",TRUE
"Ted Budd",TRUE
"Jeffrey Buongiorno",FALSE
"Justin Burau",FALSE
"Tim Burchett",TRUE
"Michael Burgess",TRUE
"Brian Burley",FALSE
"Debby Burnett",FALSE
"Daniel Burton",FALSE
"Cori Bush",TRUE
"Chris Butler",FALSE
"G Butterfield",FALSE
"Colin Byrd",FALSE
"Jason Call",FALSE
"Ken Calvert",TRUE
"Kat Cammack",TRUE
"Barbara Caraway",FALSE
"Salud Carbajal",TRUE
"Tony Cardenas",FALSE
"Jan Carey",FALSE
"Mike Carey",TRUE
"Mike Cargile",FALSE
"Jerry Carl",TRUE
"Jim Carlin",FALSE
"Monica Carpio",FALSE
"Stephen Carra",FALSE
"Andre Carson",TRUE
"Buddy Carter",TRUE
"John Carter",TRUE
"Troy Carter",TRUE
"Matt Cartwright",TRUE
"Ed Case",TRUE
"Sean Casten",TRUE
"Jose Castillo",FALSE
"Kathy Castor",TRUE
"John Castorani",FALSE
"Joaquin Castro",TRUE
"Madison Cawthorn",FALSE
"Brent Centers",FALSE
"Steve Chabot",FALSE
"Justin Chaires",FALSE
"Jay Chen",FALSE
"Liz Cheney",FALSE
"Sheila Cherfilus-Mccormick",FALSE
"Steve Chess",FALSE
"Earl Childress",FALSE
"Vivian Childs",FALSE
"Candy Christophe",FALSE
"Judy Chu",TRUE
"Jon Chuba",FALSE
"David Cicilline",TRUE
"Katherine Clark",TRUE
"Yvette Clarke",TRUE
"Mark Clay",FALSE
"Emanuel Cleaver",TRUE
"Ben Cline",TRUE
"Michael Cloud",TRUE
"James Clyburn",TRUE
"Andrew Clyde",TRUE
"Steve Cohen",TRUE
"Jahmal Cole",FALSE
"Tom Cole",TRUE
"Bonnie Coleman",TRUE
"Joe Collins",FALSE
"Mike Collins",TRUE
"James Comer",TRUE
"Chad Conerly",FALSE
"Lateefah Conner",FALSE
"Gerry Connolly",TRUE
"Marty Cooke",FALSE
"Jim Cooper",FALSE
"Mike Corbin",FALSE
"Seth Corey",FALSE
"Lou Correa",TRUE
"Jim Costa",TRUE
"Amy Courser",FALSE
"Joe Courtney",TRUE
"Carolyn Covell",FALSE
"TJ Cox",FALSE
"Frank Craft",FALSE
"Angie Craig",TRUE
"Mike Crapo",TRUE
"Rick Crawford",TRUE
"Dan Crenshaw",TRUE
"Jason Crow",TRUE
"Rob Cruz",FALSE
"Desi Cuellar",FALSE
"Henry Cuellar",TRUE
"Loren Culp",FALSE
"Eric Curry",FALSE
"John Curtis",TRUE
"Nick D'Agostino",FALSE
"Ally Dalsimer",FALSE
"Teddy Daniels",FALSE
"Sharice Davids",TRUE
"Warren Davidson",TRUE
"Danny Davis",TRUE
"Moe Davis",FALSE
"Rodney Davis",TRUE
"Antonio Daza",FALSE
"Monica Hernandez",TRUE
"Katie Dean",FALSE
"Madeleine Dean",TRUE
"Mike Decillis",FALSE
"Peter DeFazio",FALSE
"Diana DeGette",TRUE
"Vic DeGrammont",FALSE
"Rosa DeLauro",TRUE
"Suzan DelBene",TRUE
"Antonio Delgado",FALSE
"Val Demings",FALSE
"John Dennis",FALSE
"Jeremy Dennison",FALSE
"Eugene DePasquale",FALSE
"Mark Desaulnier",FALSE
"Scott Desjarlais",FALSE
"Mike Detmer",FALSE
"Ted Deutch",FALSE
"George Devolder-Santos",FALSE
"Ben Diamond",FALSE
"Mario Diaz-Balart",FALSE
"Jerry Dickinson",FALSE
"Matthew Diemer",FALSE
"Debbie Dingell",TRUE
"Delina DiSanto",FALSE
"Lloyd Doggett",TRUE
"Byron Donalds",TRUE
"Kerry Donovan",FALSE
"Rod Dorilas",FALSE
"Nathaniel Doss",FALSE
"Elvin Dowling",FALSE
"Mike Doyle",FALSE
"Calvin Driggers",FALSE
"Bobby DuBose",FALSE
"Tammy Duckworth",TRUE
"Angelica Duenas",FALSE
"Jeff Duncan",TRUE
"Aubrey Dunn",FALSE
"Neal Dunn",TRUE
"Tom Dunn",FALSE
"Harold Earls",FALSE
"Daryl Eddings",FALSE
"Ruth Edmonds",FALSE
"Mike Egan",FALSE
"Phil Ehr",FALSE
"Jameson Ellis",FALSE
"Allen Ellison",FALSE
"Jake Ellzey",TRUE
"Tom Emmer",TRUE
"Kirsten Engel",FALSE
"Ted Engquist",FALSE
"Veronica Escobar",TRUE
"Anna Eshoo",TRUE
"Adriano Espaillat",TRUE
"Ron Estes",TRUE
"Charles Evans",FALSE
"Dwight Evans",TRUE
"Mike Ezell",TRUE
"Patrick Fallon",TRUE
"Randy Feenstra",TRUE
"Anthony Feig",FALSE
"Keith Feit",FALSE
"Anthony Felix",FALSE
"Drew Ferguson",TRUE
"Francisco Fernandez",FALSE
"Teresa Fernandez",TRUE
"John Fetterman",TRUE
"Michelle Fischbach",TRUE
"Scott Fitzgerald",TRUE
"Brian Fitzpatrick",TRUE
"Tricia Flanagan",FALSE
"Bryan Flannery",FALSE
"Chuck Fleischmann",TRUE
"Bridget Fleming",FALSE
"Lizzie Fletcher",TRUE
"Mayra Flores",FALSE
"Brian Flowers",FALSE
