"","Contributor","Total","PACs","Individuals","Senator"
"1","Walt Disney Co","$6708","$0","$6708","Shervin Aazami"
"2","101 Family Medical Group","$5700","$0","$5700","Shervin Aazami"
"3","Forplay Inc","$5550","$0","$5550","Shervin Aazami"
"4","Dss Management Inc","$5000","$0","$5000","Shervin Aazami"
"5","National Council of Urban Indian Healt","$4534","$0","$4534","Shervin Aazami"
"6","Ashmi for Congress","$4000","$2000","$2000","Shervin Aazami"
"7","Softsource Inc","$4000","$0","$4000","Shervin Aazami"
"8","Truebill","$3900","$0","$3900","Shervin Aazami"
"9","University of California","$3650","$0","$3650","Shervin Aazami"
"10","California State University","$3550","$0","$3550","Shervin Aazami"
"11","Alphabet Inc","$13832","$0","$13832","Rana Abdelhamid"
"12","Harvard University","$7700","$0","$7700","Rana Abdelhamid"
"13","Matrix Anesthesia","$7050","$0","$7050","Rana Abdelhamid"
"14","Touchpoint Meda","$6800","$0","$6800","Rana Abdelhamid"
"15","Ids Real Estate Group","$5800","$0","$5800","Rana Abdelhamid"
"16","Cleveland Va Research Foundation","$5750","$0","$5750","Rana Abdelhamid"
"17","Apple Inc","$5650","$0","$5650","Rana Abdelhamid"
"18","Justice Democrats","$5000","$5000","$0","Rana Abdelhamid"
"19","Meta","$3960","$0","$3960","Rana Abdelhamid"
"20","Vanderbilt University","$3250","$0","$3250","Rana Abdelhamid"
"21","Archer Auto Group","$500","$0","$500","Julian Acciard"
"22","Dr Frayda Lindemann","$250","$0","$250","Julian Acciard"
"23","Forest City Heating & A/C","$2783","$0","$2783","Michael Ackerman"
"24","Metro Tech","$959","$0","$959","Michael Ackerman"
"25","Dobson Davanzo & Assoc","$718","$0","$718","Michael Ackerman"
"26","Town Hall Event","$665","$0","$665","Michael Ackerman"
"27","Larry Vilott Printing","$518","$0","$518","Michael Ackerman"
"28","Cambridge Properties","$479","$0","$479","Michael Ackerman"
"29","Signalpath LLC","$479","$0","$479","Michael Ackerman"
"30","Estate Planning Center","$250","$0","$250","Michael Ackerman"
"31","Grace Academy","$250","$0","$250","Michael Ackerman"
"32","Apollo Global Management","$26000","$0","$26000","Alma Adams"
"33","Blue Cross/Blue Shield","$12500","$12500","$0","Alma Adams"
"34","Wells Fargo","$12425","$7000","$5425","Alma Adams"
