"Contributor","Total","PACs","Individuals","Senator"
"University of Louisville","$29448","$0","$29448","Charles Booker"
"Gilder, Gagnon et al","$17400","$0","$17400","Charles Booker"
"Jefferson County, KY Public Schools","$15201","$0","$15201","Charles Booker"
"Democracy Engine","$15140","$0","$15140","Charles Booker"
"Brown-Forman Corp","$15065","$0","$15065","Charles Booker"
"University of Kentucky","$15055","$0","$15055","Charles Booker"
"Humana Inc","$13802","$0","$13802","Charles Booker"
"University of Maryland","$12020","$0","$12020","Charles Booker"
"Bad Robot Productions","$11600","$0","$11600","Charles Booker"
"International Brotherhood of Electrical Workers","$10840","$10000","$840","Charles Booker"
"Votesane PAC","$176992","$0","$176992","John Boozman"
"Pro-Israel America PAC","$64500","$0","$64500","John Boozman"
"Stephens Inc","$54350","$10000","$44350","John Boozman"
"2022 Senators Classic","$49100","$0","$49100","John Boozman"
"Tyson Foods","$38750","$10000","$28750","John Boozman"
"McKee Foods","$33800","$0","$33800","John Boozman"
"Walmart Inc","$32930","$10000","$22930","John Boozman"
"General Atomics","$28300","$5000","$23300","John Boozman"
"NextEra Energy","$25000","$5000","$20000","John Boozman"
"FTX.US","$23200","$0","$23200","John Boozman"
"Metro Aviation Inc","$9275","$0","$9275","Rene Borghese"
"Duke Medical","$4101","$0","$4101","Rene Borghese"
"Duke Life Flight","$1825","$0","$1825","Rene Borghese"
"Wakemed Health & Hospitals","$1500","$0","$1500","Rene Borghese"
"Atrium Health","$1000","$0","$1000","Rene Borghese"
"IBM Corp","$1000","$0","$1000","Rene Borghese"
"UNC Health","$1000","$0","$1000","Rene Borghese"
"Duke Health","$750","$0","$750","Rene Borghese"
"Cook Children's","$500","$0","$500","Rene Borghese"
"Duke Life Flight/Duke University Hos","$500","$0","$500","Rene Borghese"
"Nots Logistics","$17550","$0","$17550","Mike Bost"
"Poettker Construction","$14300","$0","$14300","Mike Bost"
"Veterans United Home Loans","$12700","$0","$12700","Mike Bost"
"Asbery & Assoc Obgyn LLC","$11600","$0","$11600","Mike Bost"
"Community Bank & Trust","$11600","$0","$11600","Mike Bost"
"Crowder & Scoggins Ltd","$11600","$0","$11600","Mike Bost"
"Knight Hawk Co","$11200","$0","$11200","Mike Bost"
"Seafarers International Union","$11000","$11000","$0","Mike Bost"
"American Bankers Assn","$10250","$10000","$250","Mike Bost"
"AbbVie Inc","$10000","$10000","$0","Mike Bost"
"Xetawave","$6600","$0","$6600","Anthony Bouchard"
"Daniels Manufacturing","$2900","$0","$2900","Anthony Bouchard"
"Electroimpact Inc","$2900","$0","$2900","Anthony Bouchard"
"Garmat Usa","$2900","$0","$2900","Anthony Bouchard"
"Kirke Financial Services","$2900","$0","$2900","Anthony Bouchard"
"Stor-Loc","$2900","$0","$2900","Anthony Bouchard"
"T-Joe'S Steakhouse","$2900","$0","$2900","Anthony Bouchard"
"Beaman Ventures","$2800","$0","$2800","Anthony Bouchard"
"Produce Pro","$2800","$0","$2800","Anthony Bouchard"
"Kirkbride Ranches","$2400","$0","$2400","Anthony Bouchard"
"No Labels","$499951","$5000","$494951","Carolyn Bourdeaux"
"League of Conservation Voters","$80700","$1000","$79700","Carolyn Bourdeaux"
"EMILY's List","$39664","$5000","$34664","Carolyn Bourdeaux"
"J Street","$32155","$0","$32155","Carolyn Bourdeaux"
"Georgia State University","$23498","$0","$23498","Carolyn Bourdeaux"
"Emory University","$19287","$0","$19287","Carolyn Bourdeaux"
"New Democrat Coalition","$14914","$7500","$7414","Carolyn Bourdeaux"
"American Israel Public Affairs Cmte","$13500","$0","$13500","Carolyn Bourdeaux"
"Radco Companies","$11600","$0","$11600","Carolyn Bourdeaux"
"Mass General Brigham","$10755","$0","$10755","Carolyn Bourdeaux"
"J Street","$23367","$2500","$20867","Jamaal Bowman"
"University of Maryland","$12710","$0","$12710","Jamaal Bowman"
"City University of New York","$12590","$0","$12590","Jamaal Bowman"
"City of New York, NY","$12240","$0","$12240","Jamaal Bowman"
"American Federation of School Administrators","$11725","$10000","$1725","Jamaal Bowman"
"Arista Networks","$11600","$0","$11600","Jamaal Bowman"
"American Federation of Teachers","$10500","$10000","$500","Jamaal Bowman"
"Justice Democrats","$10200","$10000","$200","Jamaal Bowman"
"AmeriPAC: The Fund for a Greater America","$10000","$10000","$0","Jamaal Bowman"
"University of California","$9000","$0","$9000","Jamaal Bowman"
"Walgreens Boots Alliance","$250","$0","$250","Raleigh Bowman"
"Wsi","$2800","$0","$2800","Carl Boyanton"
"Npc LLC","$2500","$0","$2500","Carl Boyanton"
"Mas Tec","$2150","$0","$2150","Carl Boyanton"
"Produce Connection","$1025","$0","$1025","Carl Boyanton"
"Crown Castle International","$1000","$0","$1000","Carl Boyanton"
"American Israel Public Affairs Cmte","$16400","$2100","$14300","Brendan Boyle"
"Rock Holdings","$15300","$2000","$13300","Brendan Boyle"
"Massachusetts Mutual Life Insurance","$15000","$7500","$7500","Brendan Boyle"
"Ballard Spahr LLP","$12900","$10000","$2900","Brendan Boyle"
"Select Medical Holdings","$12900","$10000","$2900","Brendan Boyle"
"Morris Iron & Steel","$12500","$0","$12500","Brendan Boyle"
"Siemens AG","$12000","$7000","$5000","Brendan Boyle"
"Finseca","$11500","$10000","$1500","Brendan Boyle"
"Comcast Corp","$11000","$10000","$1000","Brendan Boyle"
"Blackstone Group","$10700","$0","$10700","Brendan Boyle"
"Oaktree Capital Management","$2900","$0","$2900","James Bradley"
"Charles A Klein & Sons","$1250","$0","$1250","James Bradley"
"Allcap","$1000","$0","$1000","James Bradley"
"Capstan Corp","$1000","$0","$1000","James Bradley"
"Wilkiebros","$1000","$0","$1000","James Bradley"
"Bellwether Enterprise","$675","$0","$675","James Bradley"
"Durham Tech Community College","$625","$0","$625","James Bradley"
"Edward J Minskoff Equities","$500","$0","$500","James Bradley"
"Gwf","$500","$0","$500","James Bradley"
"State of Ca Edd","$460","$0","$460","James Bradley"
"Club for Growth","$123199","$5500","$117699","Mo Brooks"
"Senate Conservatives Fund","$107027","$10000","$97027","Mo Brooks"
"Abc Supply","$31900","$0","$31900","Mo Brooks"
"Lesco Logistics","$17900","$0","$17900","Mo Brooks"
"Acadia Healthcare","$17400","$0","$17400","Mo Brooks"
"Hometown Lenders","$17400","$0","$17400","Mo Brooks"
"Sparks Energy","$17400","$0","$17400","Mo Brooks"
"Uline Inc","$17400","$0","$17400","Mo Brooks"
"Wavelink Inc","$17400","$0","$17400","Mo Brooks"
"Colormasters","$16000","$0","$16000","Mo Brooks"
"Jbh Consulting","$2900","$0","$2900","Raymond N Brooks"
"City of Gulfport, MS","$2450","$0","$2450","Raymond N Brooks"
"Gaslight Inc","$1000","$0","$1000","Raymond N Brooks"
"R&D Development","$1000","$0","$1000","Raymond N Brooks"
"Associated Branch Pilots","$600","$0","$600","Raymond N Brooks"
"Filmloc Inc","$500","$0","$500","Raymond N Brooks"
"Gulf Coast Lighting Group","$500","$0","$500","Raymond N Brooks"
"Henrico County Public Scools","$500","$0","$500","Raymond N Brooks"
"R&D Development LLC","$500","$0","$500","Raymond N Brooks"
"Rva Kitchens & More LLC","$500","$0","$500","Raymond N Brooks"
"Shipays Inn","$1000","$0","$1000","Hillery Brotschol"
"Jj White Inc","$500","$0","$500","Hillery Brotschol"
"Rittenhouse Building & Investment Asso","$500","$0","$500","Hillery Brotschol"
"Lerah Lee for Congress","$200","$200","$0","Hillery Brotschol"
"Ankom Technology","$5800","$0","$5800","Paul Broun"
"Community Toyota","$5800","$0","$5800","Paul Broun"
"Xinnix Inc","$5800","$0","$5800","Paul Broun"
"GatorPAC","$5000","$5000","$0","Paul Broun"
"J&J Chemical Co","$5000","$0","$5000","Paul Broun"
"National Assn for Gun Rights","$4000","$4000","$0","Paul Broun"
"Keller Williams Realty","$3900","$0","$3900","Paul Broun"
"Aderhold Properties","$2900","$0","$2900","Paul Broun"
"Arylessence Inc","$2900","$0","$2900","Paul Broun"
"Brokerage Firm","$2900","$0","$2900","Paul Broun"
"Southwest Airlines Pilots Assn","$10000","$10000","$0","Anthony Brown"
"General Dynamics","$7500","$7500","$0","Anthony Brown"
"National Air Traffic Controllers Assn","$7000","$7000","$0","Anthony Brown"
"Invariant LLC","$6463","$0","$6463","Anthony Brown"
"Alpine Developer Group","$5800","$0","$5800","Anthony Brown"
"Raytheon Technologies","$5500","$4500","$1000","Anthony Brown"
"Roosevelt Group","$5400","$0","$5400","Anthony Brown"
"Amentum Services","$5000","$5000","$0","Anthony Brown"
"American Federation of Government Employees","$5000","$5000","$0","Anthony Brown"
"American Federation of State/Cnty/Munic Employees","$5000","$5000","$0","Anthony Brown"
"Heidrea Communication","$3900","$0","$3900","Jesse Brown"
"Atlas Innovative Services","$2900","$0","$2900","Jesse Brown"
"Centerline Communications LLC","$2900","$0","$2900","Jesse Brown"
"Heidrea","$2900","$0","$2900","Jesse Brown"
"Re/Max Realty","$2900","$0","$2900","Jesse Brown"
"Sword Spoon Group","$2700","$0","$2700","Jesse Brown"
"Gail O'Rourke Co","$2500","$0","$2500","Jesse Brown"
"Flexo Concepts","$2000","$0","$2000","Jesse Brown"
"Commonwealth of Massachusetts","$1905","$0","$1905","Jesse Brown"
"Ironside Law Group","$1500","$0","$1500","Jesse Brown"
"K Rowe Investments","$5800","$0","$5800","Kathleen Brown"
"Save Democracy PAC","$5000","$5000","$0","Kathleen Brown"
"Wms","$3262","$0","$3262","Kathleen Brown"
"Blaine Purcell Md","$2154","$0","$2154","Kathleen Brown"
"Baker Farms","$1500","$0","$1500","Kathleen Brown"
"Dba: John Hirschi","$1500","$0","$1500","Kathleen Brown"
"Horton Neely Realtors","$1014","$0","$1014","Kathleen Brown"
"Panhandle Democrats","$1000","$0","$1000","Kathleen Brown"
"State of Texas Judiciary","$1000","$0","$1000","Kathleen Brown"
"The Gift Shop","$1000","$0","$1000","Kathleen Brown"
"Pro-Israel America PAC","$700116","$2500","$697616","Shontel Brown"
"American Israel Public Affairs Cmte","$150670","$7900","$142770","Shontel Brown"
"NorPAC","$87400","$4300","$83100","Shontel Brown"
"Rock Holdings","$31900","$15000","$16900","Shontel Brown"
"Elliott Management","$29580","$0","$29580","Shontel Brown"
"PNC Financial Services","$23200","$0","$23200","Shontel Brown"
"Forest City Enterprises","$21400","$0","$21400","Shontel Brown"
"American Federation of Teachers","$20000","$20000","$0","Shontel Brown"
"International Longshoremens Assn","$20000","$20000","$0","Shontel Brown"
"Operating Engineers Union","$20000","$20000","$0","Shontel Brown"
"Janney Montgomery Scott Llc","$23121","$0","$23121","Julia Brownley"
"Sparagna & Sparagna","$17400","$0","$17400","Julia Brownley"
"Democracy Engine","$13400","$0","$13400","Julia Brownley"
"Blue Cross/Blue Shield","$12300","$5000","$7300","Julia Brownley"
"Los Angeles County, CA","$11600","$0","$11600","Julia Brownley"
"Patagonia Works","$11600","$0","$11600","Julia Brownley"
"Ventura County, CA","$10650","$0","$10650","Julia Brownley"
"Air Line Pilots Assn","$10000","$10000","$0","Julia Brownley"
"Allied Pilots Assn","$10000","$10000","$0","Julia Brownley"
"Amalgamated Transit Union","$10000","$10000","$0","Julia Brownley"
"Votesane PAC","$99500","$0","$99500","Vernon Buchanan"
"Ryan LLC","$44100","$10000","$34100","Vernon Buchanan"
"American Israel Public Affairs Cmte","$40050","$10000","$30050","Vernon Buchanan"
"NextEra Energy","$39200","$5000","$34200","Vernon Buchanan"
"Advocate Radiation Oncology","$34000","$0","$34000","Vernon Buchanan"
"Publix Super Markets","$31000","$10000","$21000","Vernon Buchanan"
"Select Medical Holdings","$20600","$10000","$10600","Vernon Buchanan"
"Axxess Technology Solutions","$20000","$5000","$15000","Vernon Buchanan"
"Carnival Corp","$16600","$5000","$11600","Vernon Buchanan"
"National Beer Wholesalers Assn","$16500","$8500","$8000","Vernon Buchanan"
"American Israel Public Affairs Cmte","$34000","$10000","$24000","Ken Buck"
"House Freedom Fund","$28050","$10000","$18050","Ken Buck"
"DISH Network","$16600","$5000","$11600","Ken Buck"
"University of Colorado","$14850","$0","$14850","Ken Buck"
"Silencer Shop","$11400","$0","$11400","Ken Buck"
"Anheuser-Busch InBev","$10000","$10000","$0","Ken Buck"
"Charter Communications","$10000","$10000","$0","Ken Buck"
"Huck PAC","$10000","$10000","$0","Ken Buck"
"Koch Industries","$10000","$10000","$0","Ken Buck"
"Project West PAC","$10000","$10000","$0","Ken Buck"
"American Israel Public Affairs Cmte","$34000","$10000","$24000","Ken Buck"
"House Freedom Fund","$28050","$10000","$18050","Ken Buck"
"DISH Network","$16600","$5000","$11600","Ken Buck"
"University of Colorado","$14850","$0","$14850","Ken Buck"
"Silencer Shop","$11400","$0","$11400","Ken Buck"
"Anheuser-Busch InBev","$10000","$10000","$0","Ken Buck"
"Charter Communications","$10000","$10000","$0","Ken Buck"
"Huck PAC","$10000","$10000","$0","Ken Buck"
"Koch Industries","$10000","$10000","$0","Ken Buck"
"Project West PAC","$10000","$10000","$0","Ken Buck"
"American Israel Public Affairs Cmte","$34000","$10000","$24000","Ken Buck"
"House Freedom Fund","$28050","$10000","$18050","Ken Buck"
"DISH Network","$16600","$5000","$11600","Ken Buck"
"University of Colorado","$14850","$0","$14850","Ken Buck"
"Silencer Shop","$11400","$0","$11400","Ken Buck"
"Anheuser-Busch InBev","$10000","$10000","$0","Ken Buck"
"Charter Communications","$10000","$10000","$0","Ken Buck"
"Huck PAC","$10000","$10000","$0","Ken Buck"
"Koch Industries","$10000","$10000","$0","Ken Buck"
"Project West PAC","$10000","$10000","$0","Ken Buck"
"New York Cancer & Blood Specialists","$50000","$0","$50000","Larry Bucshon"
"DaVita Inc","$14250","$6500","$7750","Larry Bucshon"
"Urology of Indiana","$13750","$0","$13750","Larry Bucshon"
"Todd Strategy Group","$11700","$0","$11700","Larry Bucshon"
"United Companies","$10800","$0","$10800","Larry Bucshon"
"Roche Holdings","$10500","$10000","$500","Larry Bucshon"
"Mehlman, Castagnetti et al","$10300","$0","$10300","Larry Bucshon"
"Aluminum Assn","$10000","$10000","$0","Larry Bucshon"
"American Assn of Neurological Surgeons","$10000","$10000","$0","Larry Bucshon"
"American College of Cardiology","$10000","$10000","$0","Larry Bucshon"
"Club for Growth","$261567","$2850","$258717","Ted Budd"
"Senate Conservatives Fund","$140543","$10000","$130543","Ted Budd"
"Truist Financial","$25700","$10000","$15700","Ted Budd"
"Saulsbury Industries","$23200","$0","$23200","Ted Budd"
"Budd Group","$22800","$0","$22800","Ted Budd"
"Prestage Farms","$21250","$0","$21250","Ted Budd"
"Self Employed-Homemaker","$18700","$0","$18700","Ted Budd"
"Brighthouse Financial","$18100","$0","$18100","Ted Budd"
"Veterans Guardian VA Claim Consulting","$17255","$0","$17255","Ted Budd"
"Live Oak Bank","$16600","$5000","$11600","Ted Budd"
"Dassault Systemes","$2800","$0","$2800","Jeffrey Buongiorno"
"Film Investment","$1000","$0","$1000","Jeffrey Buongiorno"
"True","$1000","$0","$1000","Jeffrey Buongiorno"
"Consultant Design","$750","$0","$750","Jeffrey Buongiorno"
"Templeton & Co (Florida)","$500","$0","$500","Jeffrey Buongiorno"
"Raytheon Technologies","$1300","$0","$1300","Justin Burau"
"Service Stampings","$1250","$0","$1250","Justin Burau"
"Allstate Insurance","$500","$0","$500","Justin Burau"
"Brown, Hay & Stephens","$500","$0","$500","Justin Burau"
"Citizens To Elect Jim Zay","$500","$0","$500","Justin Burau"
"Fci Flavors","$500","$0","$500","Justin Burau"
"Hart for Dupage","$500","$0","$500","Justin Burau"
"Mcswain Nagle & Giese PC","$500","$0","$500","Justin Burau"
"Smallbizcfo4u LLC","$500","$0","$500","Justin Burau"
"Pugi of Chicagoland","$300","$0","$300","Justin Burau"
"Clayton Homes","$17400","$0","$17400","Tim Burchett"
"Deroyal Industries","$17400","$0","$17400","Tim Burchett"
"Anderson Media (Tennessee)","$11600","$0","$11600","Tim Burchett"
"Hotel Industry","$11600","$0","$11600","Tim Burchett"
"South College","$11600","$0","$11600","Tim Burchett"
"Phillips & Jordan","$10267","$0","$10267","Tim Burchett"
"American Israel Public Affairs Cmte","$10000","$10000","$0","Tim Burchett"
"Keller Group","$9450","$0","$9450","Tim Burchett"
"Pilot Corp","$8800","$0","$8800","Tim Burchett"
"Shoffner Kalthoff Mes","$8700","$0","$8700","Tim Burchett"
"Metropolitan Anesthesia Consultants","$14205","$7500","$6705","Michael Burgess"
"American Academy of Dermatology Assn","$10000","$10000","$0","Michael Burgess"
"American Academy of Orthopaedic Surgeons","$10000","$10000","$0","Michael Burgess"
"American Assn of Neurological Surgeons","$10000","$10000","$0","Michael Burgess"
"American Dental Assn","$10000","$10000","$0","Michael Burgess"
"American Hospital Assn","$10000","$10000","$0","Michael Burgess"
"American Medical Assn","$10000","$10000","$0","Michael Burgess"
"American Optometric Assn","$10000","$10000","$0","Michael Burgess"
"AT&T Inc","$10000","$10000","$0","Michael Burgess"
"CMR PAC","$10000","$10000","$0","Michael Burgess"
"Guggenheim Co","$2000","$0","$2000","Brian Burley"
"Sm Harner Co","$2000","$0","$2000","Brian Burley"
"Famlee Investment Co","$1500","$0","$1500","Brian Burley"
"Resmed Inc","$1500","$0","$1500","Brian Burley"
"IMA Medical Group","$1000","$0","$1000","Brian Burley"
"Integral Communities","$1000","$0","$1000","Brian Burley"
"JMB Institutional Realty","$1000","$0","$1000","Brian Burley"
"Kirke Financial Services","$1000","$0","$1000","Brian Burley"
"Lyon Financial","$1000","$0","$1000","Brian Burley"
"Pediatrix Medical Group","$1000","$0","$1000","Brian Burley"
"Healing Springs Vet Care","$10771","$0","$10771","Debby Burnett"
"Kay Pride Communications","$3153","$0","$3153","Debby Burnett"
"Shutterfly Inc","$2900","$0","$2900","Debby Burnett"
"Burnett Consulting Engineers","$2812","$0","$2812","Debby Burnett"
"Dmj Management","$2000","$0","$2000","Debby Burnett"
"Allen & Co","$1000","$0","$1000","Debby Burnett"
"Appletv+","$1000","$0","$1000","Debby Burnett"
"Freestate Electrical Construction Comp","$1000","$0","$1000","Debby Burnett"
"Hoffman Institute","$1000","$0","$1000","Debby Burnett"
"Jones Walker Llp","$1000","$0","$1000","Debby Burnett"
"Cohen, Klingenstein & Marks","$5800","$0","$5800","Daniel Jr Burton"
"Four Seasons Produce","$2900","$0","$2900","Daniel Jr Burton"
"Z Motor Co","$2300","$0","$2300","Daniel Jr Burton"
"JSL Mechanical","$2000","$0","$2000","Daniel Jr Burton"
"Global Mine Service Inc","$1000","$0","$1000","Daniel Jr Burton"
"Ags","$500","$0","$500","Daniel Jr Burton"
"Crawford Group","$250","$0","$250","Daniel Jr Burton"
"EZ Pay Inc","$250","$0","$250","Daniel Jr Burton"
"Richard L Sensenig Co","$250","$0","$250","Daniel Jr Burton"
"Schumacher Automotive Group","$250","$0","$250","Daniel Jr Burton"
"Arista Networks","$11600","$0","$11600","Cori Bush"
"Northlane Capital Partners","$11600","$0","$11600","Cori Bush"
"Partnership For Democracy & Education","$11488","$0","$11488","Cori Bush"
"University of California","$10085","$0","$10085","Cori Bush"
"Columbia University","$7800","$0","$7800","Cori Bush"
"Medicare for All PAC","$7500","$7500","$0","Cori Bush"
"Park Foundation","$7400","$0","$7400","Cori Bush"
"Washington University in St Louis","$6924","$0","$6924","Cori Bush"
"Levi Strauss & Co","$6300","$0","$6300","Cori Bush"
"Alphabet Inc","$6227","$0","$6227","Cori Bush"
"Chicago Embassy Church Network","$7488","$0","$7488","Chris Butler"
"Fidelis","$5000","$5000","$0","Chris Butler"
"Susan B Anthony List","$5000","$5000","$0","Chris Butler"
"City of Chicago, IL","$3050","$0","$3050","Chris Butler"
"Alter Boy Studios","$2900","$0","$2900","Chris Butler"
"Dfla","$2500","$0","$2500","Chris Butler"
"Fannie Lou Hamer PAC","$2500","$2500","$0","Chris Butler"
"Home School Legal Defense Assn","$2500","$2500","$0","Chris Butler"
"Pac","$2500","$0","$2500","Chris Butler"
"Ascension","$2000","$0","$2000","Chris Butler"
"Altria Group","$5000","$5000","$0","G K Butterfield"
"American Federation of State/Cnty/Munic Employees","$5000","$5000","$0","G K Butterfield"
"American Orthotic & Prosthetic Assn","$5000","$5000","$0","G K Butterfield"
"ATS Communications","$5000","$0","$5000","G K Butterfield"
"Charter Communications","$5000","$5000","$0","G K Butterfield"
"Comcast Corp","$5000","$5000","$0","G K Butterfield"
"International Paper","$5000","$5000","$0","G K Butterfield"
"National Assn of Broadcasters","$5000","$5000","$0","G K Butterfield"
"NCTA The Internet & Television Assn","$5000","$5000","$0","G K Butterfield"
"Viatris Inc","$5000","$5000","$0","G K Butterfield"
"Armand Corp","$1000","$0","$1000","Colin Byrd"
"Digiplex","$1000","$0","$1000","Colin Byrd"
"Family League of Baltimore","$1000","$0","$1000","Colin Byrd"
"Global Policy Solutions LLC","$1000","$0","$1000","Colin Byrd"
"Phoebe Putney Memorial Hospital","$1000","$0","$1000","Colin Byrd"
"Service Employees International Union","$750","$0","$750","Colin Byrd"
"Astec Inc","$500","$0","$500","Colin Byrd"
"US Dept of the Treasury","$500","$0","$500","Colin Byrd"
"Butler Snow LLP","$300","$0","$300","Colin Byrd"
"Eig Property Management","$250","$0","$250","Colin Byrd"
"Windermere Real Estate","$3777","$0","$3777","Jason Call"
"Fun Bits Interactive","$2900","$0","$2900","Jason Call"
"Mn Custom Homes","$2900","$0","$2900","Jason Call"
"Microsoft Corp","$2795","$0","$2795","Jason Call"
"Boeing Co","$2551","$0","$2551","Jason Call"
"Peacehealth Medical Group","$1159","$0","$1159","Jason Call"
"University of California","$1150","$0","$1150","Jason Call"
"Blue America PAC","$1000","$1000","$0","Jason Call"
"J&M Plastics","$1000","$0","$1000","Jason Call"
"Illinois Dcfs","$950","$0","$950","Jason Call"
"American Israel Public Affairs Cmte","$62350","$10400","$51950","Ken Calvert"
"General Atomics","$48150","$10000","$38150","Ken Calvert"
"Leidos Inc","$43000","$10000","$33000","Ken Calvert"
"General Dynamics","$38000","$10000","$28000","Ken Calvert"
"Innovative Federal Strategies","$25100","$0","$25100","Ken Calvert"
"Sierra Nevada Corp","$21600","$10000","$11600","Ken Calvert"
"SpaceX","$21400","$10000","$11400","Ken Calvert"
"Van Scoyoc Assoc","$21200","$0","$21200","Ken Calvert"
"II-VI Inc","$20750","$10000","$10750","Ken Calvert"
"Mercury Systems","$18500","$0","$18500","Ken Calvert"
"Gleim Publications","$23200","$0","$23200","Kat Cammack"
"Jb Coxwell Contracting","$17400","$0","$17400","Kat Cammack"
"Dimare Companies","$15500","$0","$15500","Kat Cammack"
"Red Apple Group","$14500","$0","$14500","Kat Cammack"
"Cecil W Powell & Co","$12000","$0","$12000","Kat Cammack"
"Trimark Properties","$11850","$0","$11850","Kat Cammack"
"Alliance & Assoc","$11600","$0","$11600","Kat Cammack"
"Brown Gibbons Lang & Co","$11600","$0","$11600","Kat Cammack"
"G4S plc","$11600","$0","$11600","Kat Cammack"
"Uline Inc","$11600","$0","$11600","Kat Cammack"
"Star Concessions","$8600","$0","$8600","Barbara Mallory Caraway"
"Airman Services Inc","$2800","$0","$2800","Barbara Mallory Caraway"
"Inernational Bazaar","$2000","$0","$2000","Barbara Mallory Caraway"
"International Bazaar","$2000","$0","$2000","Barbara Mallory Caraway"
"Strategic Advisory Services","$1250","$0","$1250","Barbara Mallory Caraway"
"Access Self Storage","$500","$0","$500","Barbara Mallory Caraway"
"Looking for It","$250","$0","$250","Barbara Mallory Caraway"
"United Methodist Church","$100","$0","$100","Barbara Mallory Caraway"
"PG&E Corp","$13789","$9889","$3900","Salud Carbajal"
"Carnival Corp","$11600","$0","$11600","Salud Carbajal"
"Esri","$11600","$0","$11600","Salud Carbajal"
"Sparagna & Sparagna","$11600","$0","$11600","Salud Carbajal"
"Tiger Moon Group","$11600","$0","$11600","Salud Carbajal"
"Advanced Scientific Concepts","$11200","$0","$11200","Salud Carbajal"
"Cate School","$11200","$0","$11200","Salud Carbajal"
"Diani Co","$11200","$0","$11200","Salud Carbajal"
"Rusack Vineyards","$11200","$0","$11200","Salud Carbajal"
"American Crystal Sugar","$10000","$10000","$0","Salud Carbajal"
"American Israel Public Affairs Cmte","$47500","$2100","$45400","Tony Cardenas"
"Blue Cross/Blue Shield","$19500","$19500","$0","Tony Cardenas"
"AT&T Inc","$11500","$10000","$1500","Tony Cardenas"
"PG&E Corp","$11500","$10000","$1500","Tony Cardenas"
"Abbott Laboratories","$10000","$10000","$0","Tony Cardenas"
"American Crystal Sugar","$10000","$10000","$0","Tony Cardenas"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Tony Cardenas"
"Amgen Inc","$10000","$10000","$0","Tony Cardenas"
"AstraZeneca PLC","$10000","$10000","$0","Tony Cardenas"
"Carpenters & Joiners Union","$10000","$10000","$0","Tony Cardenas"
"K Rowe Investments","$2900","$0","$2900","Jan Carey"
"Laughing Elephant Yoga","$2600","$0","$2600","Jan Carey"
"Sawyer Springs Vineyard","$2600","$0","$2600","Jan Carey"
"Southwest Orthopedic Group","$1600","$0","$1600","Jan Carey"
"Animation Director","$1000","$0","$1000","Jan Carey"
"Peace of Movement","$565","$0","$565","Jan Carey"
"Harkrader Ltd Partnership","$500","$0","$500","Jan Carey"
"Ilio Canine Care","$378","$0","$378","Jan Carey"
"Bartlett Carter Talent","$300","$0","$300","Jan Carey"
"Marlborough School","$300","$0","$300","Jan Carey"
"Jennmar Corp","$40850","$0","$40850","Mike Carey"
"Rosebud Mining","$23700","$0","$23700","Mike Carey"
"Entertrainment Junction","$20000","$0","$20000","Mike Carey"
"Majority Cmte PAC","$20000","$20000","$0","Mike Carey"
"Epcon Communities","$15600","$0","$15600","Mike Carey"
"National Assn of Realtors","$15000","$15000","$0","Mike Carey"
"National Auto Dealers Assn","$15000","$15000","$0","Mike Carey"
"Pioneer PAC","$15000","$15000","$0","Mike Carey"
"Nationwide","$14900","$12000","$2900","Mike Carey"
"Alliance Resource Partners","$14300","$6500","$7800","Mike Carey"
"Huck PAC","$5000","$5000","$0","Mike Cargile"
"Charmagne Kalter Photography","$2900","$0","$2900","Mike Cargile"
"Expert Computer International","$2900","$0","$2900","Mike Cargile"
"Jeff Gorman for Congress","$2000","$2000","$0","Mike Cargile"
"Kalter Financial Group","$1200","$0","$1200","Mike Cargile"
"BFP Inc","$1000","$0","$1000","Mike Cargile"
"California Medical Billing","$1000","$0","$1000","Mike Cargile"
"Camino Real","$1000","$0","$1000","Mike Cargile"
"Don'S Backyard Store","$1000","$0","$1000","Mike Cargile"
"Lueken Innovations","$1000","$0","$1000","Mike Cargile"
"Brett Robinson Real Estate","$19910","$0","$19910","Jerry Carl"
"Poarch Band Of Creek Indians","$17400","$0","$17400","Jerry Carl"
"Radiance Technologies","$12500","$7500","$5000","Jerry Carl"
"Magnolia Marketing","$11600","$0","$11600","Jerry Carl"
"Pepsi Cola Bottling Co of Atmore","$11600","$0","$11600","Jerry Carl"
"Remax Paradise","$11600","$0","$11600","Jerry Carl"
"Venture Group","$11600","$0","$11600","Jerry Carl"
"Airbus Group","$10000","$10000","$0","Jerry Carl"
"Alabama Farmers Federation","$10000","$10000","$0","Jerry Carl"
"Blue Cross/Blue Shield","$10000","$10000","$0","Jerry Carl"
"Meier Towing","$4000","$0","$4000","Jim Carlin"
"Multicare","$2900","$0","$2900","Jim Carlin"
"2pifi Inc","$2500","$0","$2500","Jim Carlin"
"Tristate Physicians & Pt","$2100","$0","$2100","Jim Carlin"
"Worldclinic","$2000","$0","$2000","Jim Carlin"
"Foot & Ankle Clinic PC","$1600","$0","$1600","Jim Carlin"
"Haas Chiropractic","$1600","$0","$1600","Jim Carlin"
"Tires, Tires, Tires","$1400","$0","$1400","Jim Carlin"
"American Warrior Enterprises","$1000","$0","$1000","Jim Carlin"
"Ashley Acres","$1000","$0","$1000","Jim Carlin"
"Koons Ford","$1286","$0","$1286","Monica Carpio"
